address_name,category_group_code,category_group_name,category_name,id,phone,place_name,road_address_name,x,y,rating,review_count,blog_count,hourly_visit,img_url
서울 마포구 서교동 369-10,FD6,음식점,음식점 > 한식,18257217,02-3143-6635,강강술래 홍대점,서울 마포구 잔다리로6길 25,126.92056917003,37.5523564337032,4.7,1187,92,"[29.4, 23.9, 18.3, 18.3, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 30.6, 38.9, 43.9, 36.1, 31.7, 32.2, 25.6, 22.8]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F39082EF42E464D64ACCA8817A77C7E0E
서울 마포구 서교동 369-4,FD6,음식점,음식점 > 한식,1985225055,010-9482-9185,홍대 조선시대,서울 마포구 홍익로3길 44,126.92150590347114,37.55264537945837,3.5,37,91,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 63.3, 66.1, 46.1, 33.9, 31.1, 56.1, 52.2, 55.0, 41.1, 28.9, 25.6, 17.8, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F950f35fd41c7c8730be2418925a41aeca0b00096%3Foriginal
서울 마포구 동교동 163-6,FD6,음식점,"음식점 > 한식 > 육류,고기 > 닭요리",443293859,02-511-8812,장인닭갈비 홍대점,서울 마포구 어울마당로 111-1,126.9228389569877,37.55491677229308,3.9,184,1990,"[20.0, 16.7, 16.7, 16.7, 17.2, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 31.7, 42.2, 35.0, 35.0, 38.3, 42.2, 43.9, 40.0, 35.0, 37.8, 36.7, 34.4, 27.2]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0dee9ecacce4e1509335ce34fe2e6b04588d98b5%3Foriginal
서울 마포구 서교동 461-25,FD6,음식점,"음식점 > 한식 > 해물,생선 > 회",27321311,02-325-6565,바다회사랑 2호점,서울 마포구 동교로 143,126.9178033478959,37.555429645666095,3.2,189,994,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 28.3, 31.7, 35.0, 48.3, 44.4, 46.7, 35.0, 26.7, 21.1, 18.9]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2bdd4ef48ffbaaa91a6771624ddc263ac69dede2%3Foriginal
서울 마포구 서교동 331-21,FD6,음식점,"음식점 > 한식 > 해물,생선",11786671,,홍스쭈꾸미 홍대본점,서울 마포구 어울마당로 146,126.926097071033,37.5561874609149,3.6,117,530,"[23.9, 18.9, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 54.4, 52.75, 51.1, 36.7, 35.0, 32.8, 45.0, 50.6, 39.4, 38.3, 31.7, 31.7, 28.9]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9b2e1cae28a237eeb2ae5250694036bc79207cb9%3Foriginal
서울 마포구 서교동 362-6,FD6,음식점,음식점 > 한식,803910728,02-336-5540,교도리,서울 마포구 와우산로 77,126.923083654402,37.5513751096445,4.8,161,170,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 40.6, 31.7, 40.0, 41.1, 40.6, 35.6, 24.4, 17.8, 16.7]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F01286A0E1FA140E39F58D61D2A5E874C
서울 마포구 상수동 327-7,FD6,음식점,"음식점 > 한식 > 육류,고기",1753129148,02-6012-0918,상수냉장고,서울 마포구 와우산로 23,126.92280227503409,37.54659152540154,5.0,642,244,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F10a9c1f59d32682ca1632d676d81c55045f15647%3Foriginal
서울 마포구 서교동 332-8,FD6,음식점,"음식점 > 한식 > 육류,고기 > 닭요리",1560620998,070-4042-4602,둥지닭볶음탕,서울 마포구 와우산로29마길 16,126.926419170206,37.5554920920956,4.2,94,188,"[16.7, 16.7, 16.7, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 17.2, 16.7, 16.7, 16.7, 16.7, 16.7, 47.8, 58.3, 46.7, 32.2, 23.9, 17.8, 16.1]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F90565be6d152f20c9aa548417f1b54e14e9c5caa%3Foriginal
서울 마포구 서교동 395-124,FD6,음식점,"음식점 > 한식 > 육류,고기",19083939,02-3144-1312,이치류 홍대본점,서울 마포구 잔다리로3안길 44,126.919158667489,37.5506507881727,4.0,54,906,"[16.7, 16.7, 16.7, 16.7, 16.7, 17.2, 16.7, 17.2, 17.2, 17.2, 17.2, 17.2, 26.7, 30.0, 24.4, 23.9, 26.1, 40.0, 51.1, 43.9, 32.2, 23.3, 19.4, 17.2]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDD8F0B98A44540B3A4C68C055D2AB8F5
서울 마포구 서교동 369-44,FD6,음식점,"음식점 > 한식 > 육류,고기",27197478,070-7779-5658,고기꾼김춘배 홍대본점,서울 마포구 홍익로3길 36,126.921519275899,37.552843607872,4.4,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_460604935
